record_id,source_organization,source_dataset,source_url,source_record_id,source_type,is_synthetic,date,site,industry_domain,report_type,activity,narrative_text,hazard,unsafe_act,unsafe_condition,barrier,barrier_status,potential_consequence,actual_outcome,sif_potential,sif_reason,life_saving_rule,injury_severity_actual,age,sex,naics_code,ingestion_date,schema_version,is_duplicate_group_id,is_empty_or_malformed,has_possible_pii
sif_guard_seed__OIL-00597,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00597,synthetic,True,2025-05-01,Site E - Barekuri Pipeline,oil_and_gas,UC,Production Operations,Fire extinguisher signage in the corridor was found slightly faded; repainting scheduled. Noted during the daily safety walk.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15412,False,False
sif_guard_seed__OIL-00805,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00805,synthetic,True,2025-09-13,Site C - Kumchai,oil_and_gas,UC,Production Operations,Fire extinguisher signage in the corridor was found slightly faded; repainting scheduled. Noted during the daily safety walk.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15412,False,False
sif_guard_seed__OIL-00819,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00819,synthetic,True,2025-09-20,Site D - Jorajan,oil_and_gas,UA,Maintenance,Fire extinguisher signage in the corridor was found slightly faded; repainting scheduled. Noted during the daily safety walk.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15412,False,False
sif_guard_seed__OIL-00980,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00980,synthetic,True,2026-01-17,Site B - Moran,oil_and_gas,UC,Production Operations,Fire extinguisher signage in the corridor was found slightly faded; repainting scheduled. Noted during the daily safety walk.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15412,False,False
sif_guard_seed__OIL-00446,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00446,synthetic,True,2025-01-11,Site C - Kumchai,oil_and_gas,UA,Housekeeping,A shift technician was found not wearing safety glasses while filing paperwork in the site office.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15382,False,False
sif_guard_seed__OIL-00724,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00724,synthetic,True,2025-07-19,Site D - Jorajan,oil_and_gas,UC,Maintenance,A shift technician was found not wearing safety glasses while filing paperwork in the site office.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15382,False,False
sif_guard_seed__OIL-00013,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00013,real_ihm_stefanini,False,2016-02-01,Real-Local_05,oil_and_gas,Incident,Metals,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,Liquid Metal,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00306,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00306,real_ihm_stefanini,False,2017-01-24,Real-Local_05,oil_and_gas,Incident,Metals,"Employee was transiting the GRS area when he came to slip, suffering a twist in his left knee.",Fall,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Working at Height,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01277,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01277,synthetic,True,2026-07-31,Site C - Kumchai,oil_and_gas,Near Miss,Lifting Operations,"During crane operation, an operator walked under the boom while the load was still suspended. The activity was halted and the area was made safe.",Pressure release,UNKNOWN,UNKNOWN,Barricading/exclusion zone,Missing,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Line of Fire,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00727,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00727,synthetic,True,2025-07-20,Site D - Jorajan,oil_and_gas,UA,Production Operations,A loose floor tile was noticed by a third-party worker in the administrative block corridor.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15360,False,False
sif_guard_seed__OIL-00788,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00788,synthetic,True,2025-09-04,Site E - Barekuri Pipeline,oil_and_gas,UA,Maintenance,A loose floor tile was noticed by a third-party worker in the administrative block corridor.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15360,False,False
sif_guard_seed__OIL-00582,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00582,synthetic,True,2025-04-19,Site B - Moran,oil_and_gas,UA,Confined Space Entry,A new joinee entered a storage tank without prior gas testing being completed. No injury occurred.,Engulfment,UNKNOWN,UNKNOWN,Rescue plan/standby,Bypassed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Confined Space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00838,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00838,synthetic,True,2025-10-02,Site D - Jorajan,oil_and_gas,Near Miss,Production Operations,A maintenance crew member reported that the office AC filter needed cleaning. Noted during the daily safety walk.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01207,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01207,synthetic,True,2026-06-18,Site A - Duliajan,oil_and_gas,UA,Maintenance,"During maintenance, a third-party worker started work on the transformer bay before energy isolation was verified; the line was found still energized.",Stored/residual energy,UNKNOWN,UNKNOWN,Isolation certificate,Bypassed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Energy Isolation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00233,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00233,real_ihm_stefanini,False,2016-10-04,Real-Local_10,oil_and_gas,Incident,Others,"In the probe 5068 bore BAPDD00146, around 15:00 hours, the polling assistant Luciano da Silva performing the maneuver of descending rods, led the rod to the gutter, but this when not leaning suitably came to escape the gutter returning toward the easel. His hand had slipped and his little finger was between the rod and the easel. Realizing that the shaft had returned, he released it. immediately, but his little finger was partially hit by the rim of the rod against the easel resulting in a cut. The auxiliary was taken to hospital and attended to, the wound resulted in 5 points and the was released for administrative activities.",Others,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00712,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00712,synthetic,True,2025-07-08,Site B - Moran,oil_and_gas,UA,Maintenance,A new joinee reported that the office AC filter needed cleaning. Logged for routine follow-up.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00159,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00159,real_ihm_stefanini,False,2016-06-23,Real-Local_08,oil_and_gas,Incident,Metals,"When handling a lever to move the sludge, the employee moved it by making a pendulum movement and striking his chin.",Manual Tools,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00640,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00640,synthetic,True,2025-05-30,Site A - Duliajan,oil_and_gas,UA,Transportation,A field engineer observed faded exclusion-zone markings near the transformer bay; reported for repainting. No further action required.,None identified,UNKNOWN,UNKNOWN,Barricading/exclusion zone,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Line of Fire,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01149,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01149,synthetic,True,2026-05-03,Site C - Kumchai,oil_and_gas,UC,Excavation,A new joinee was standing directly beneath a suspended load during a lifting operation near the gas compressor skid.,Struck by falling/moving object,UNKNOWN,UNKNOWN,Suspended load control,Missing,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Line of Fire,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00028,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00028,real_ihm_stefanini,False,2016-02-15,Real-Local_03,oil_and_gas,Incident,Mining,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",Others,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01045,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01045,synthetic,True,2026-03-02,Site D - Jorajan,oil_and_gas,Near Miss,Maintenance,No fire extinguisher was available at the hot work location where a shift technician was cutting pipe. No injury occurred.,Ignition of flammable material,UNKNOWN,UNKNOWN,Gas testing (flammable atmosphere),Missing,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Hot Work,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00066,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00066,real_ihm_stefanini,False,2016-03-18,Real-Local_05,oil_and_gas,Incident,Metals,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",Chemical substances,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-01316,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01316,synthetic,True,2026-08-29,Site B - Moran,oil_and_gas,UC,Production Operations,A maintenance crew member observed faded exclusion-zone markings near the pump P-204; reported for repainting.,None identified,UNKNOWN,UNKNOWN,Signage,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Line of Fire,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00518,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00518,synthetic,True,2025-03-16,Site C - Kumchai,oil_and_gas,UA,Transportation,A pipe section slipped from rigging and struck the barricade near where a shift technician was standing. Fortunately no one was in the immediate vicinity at the time.,Pressure release,UNKNOWN,UNKNOWN,Suspended load control,Bypassed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Line of Fire,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00604,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00604,synthetic,True,2025-05-04,Site D - Jorajan,oil_and_gas,UA,Maintenance,A shift technician suggested better labeling for stationery cupboards in the office. Logged for routine follow-up.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15380,False,False
sif_guard_seed__OIL-00622,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00622,synthetic,True,2025-05-17,Site A - Duliajan,oil_and_gas,UC,Maintenance,A shift technician suggested better labeling for stationery cupboards in the office. Logged for routine follow-up.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15380,False,False
sif_guard_seed__OIL-01023,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01023,synthetic,True,2026-02-18,Site B - Moran,oil_and_gas,UC,Production Operations,A shift technician suggested better labeling for stationery cupboards in the office. Logged for routine follow-up.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15380,False,False
sif_guard_seed__OIL-01034,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01034,synthetic,True,2026-02-26,Site B - Moran,oil_and_gas,UC,Electrical Work,A maintenance crew member bypassed the LOTO tag and re-energized the pump P-204 while another crew was still working on it.,Electrical shock,UNKNOWN,UNKNOWN,Isolation verification,Failed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Energy Isolation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00653,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00653,synthetic,True,2025-06-06,Site E - Barekuri Pipeline,oil_and_gas,Near Miss,Production Operations,A maintenance crew member overrode the safety interlock on the compressor to continue operations during a fault. No injury occurred.,Disabled safety interlock,UNKNOWN,UNKNOWN,Alarm system,Bypassed,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Bypassing Safety Controls,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00282,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00282,real_ihm_stefanini,False,2016-12-26,Real-Local_06,oil_and_gas,Incident,Metals,"Mr. Marcelo withdrew foam from the ajax oven, using the metal spoon to empty it into the foam waste container. At that moment splash of slag residues, impacting the face and generating a surface burn. The worker was wearing a face mask.",Others,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00403,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00403,real_ihm_stefanini,False,2017-06-09,Real-Local_06,oil_and_gas,Incident,Metals,"Mr. Emerson was moving trays; when climbing the staircase that gives access to the former dining room and finding himself on the last step, he slips and falls to the floor; supporting the body forward, suffering blows to the right knee with the floor, as well as in the nose with the metal trays it was carrying, causing a cut in the nose and ematoma in the knee.",Fall,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,No,UNKNOWN,Working at Height,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00162,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00162,real_ihm_stefanini,False,2016-06-29,Real-Local_01,oil_and_gas,Incident,Mining,"In plant while doing work on GEHO pump reducer N ° 1, when accompanying the rotation of the shaft of the reducer with a mixed key of 7/16 "", the wrench crown hits against the housing of the GEHO pump attributing the Union area of ​​the fifth and fourth fingers of the welder's right hand causing the injury. At the time of the accident the equipment was blocked and the employee used his leather gloves.",Others,UNKNOWN,UNKNOWN,Unknown (not recorded in source),Unknown,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Unmapped,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00917,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00917,synthetic,True,2025-11-30,Site E - Barekuri Pipeline,oil_and_gas,UA,Housekeeping,A field engineer was found not wearing safety glasses while filing paperwork in the site office.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,0,False,False
sif_guard_seed__OIL-00468,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00468,synthetic,True,2025-01-29,Site A - Duliajan,oil_and_gas,UC,Housekeeping,A first-aid box in the admin building was found to be missing a few bandages; restocked. Corrected on the spot.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15354,False,False
sif_guard_seed__OIL-00531,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00531,synthetic,True,2025-03-23,Site D - Jorajan,oil_and_gas,Near Miss,Maintenance,A first-aid box in the admin building was found to be missing a few bandages; restocked. Corrected on the spot.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15354,False,False
sif_guard_seed__OIL-00564,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00564,synthetic,True,2025-04-13,Site D - Jorajan,oil_and_gas,UC,Maintenance,A first-aid box in the admin building was found to be missing a few bandages; restocked. Corrected on the spot.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15354,False,False
sif_guard_seed__OIL-00630,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-00630,synthetic,True,2025-05-24,Site E - Barekuri Pipeline,oil_and_gas,UC,Production Operations,A first-aid box in the admin building was found to be missing a few bandages; restocked. Corrected on the spot.,None identified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,No,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15354,False,False
sif_guard_seed__OIL-01173,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01173,synthetic,True,2026-05-24,Site B - Moran,oil_and_gas,UA,Confined Space Entry,"Confined space permit paperwork had a minor date entry error, corrected before entry.",None identified,UNKNOWN,UNKNOWN,Continuous atmosphere monitoring,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Confined Space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15397,False,False
sif_guard_seed__OIL-01214,SIF-Guard project (internal),sif_guard_seed,N/A (internal project file),OIL-01214,synthetic,True,2026-06-20,Site E - Barekuri Pipeline,oil_and_gas,UC,Maintenance,"Confined space permit paperwork had a minor date entry error, corrected before entry.",None identified,UNKNOWN,UNKNOWN,Confined space entry permit,Adequate / Minor Gap,UNKNOWN,UNKNOWN,No,UNKNOWN,Confined Space,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2026-09-04T09:23:57Z,1.0.0,15397,False,False
