report_id,date,site,activity,report_type,report_text,sif_potential,life_saving_rule,hazard,barrier,barrier_status,risk_level,source
OIL-00011,2016-01-28,Real-Local_03,Mining,Incident,"While installing a segment of the polyurethane pulley protective lyner - 60x4x5cm weighing 1.2 kg - on the head pulley of the ore winch, when the pulley is rotated to compress the lyner inside the channel, it falls from its housing 1.50 m rubbing the right side of the worker's hip, generating the injury described.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00012,2016-01-30,Real-Local_03,Mining,Incident,"While preparing the rice for the lunch of the day, when moving the pot # 60 - 35 Kg of weight including the contents - to evacuate the residual water of the cooking of the rice, when positioning the pot on a jaba it tilts backwards spilling some 200 ml of hot water on the cook's leg. The cook immediately after the event applies first aid, pouring cold water on the area of ​​the injury and go to the medical post for evaluation.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00013,2016-02-01,Real-Local_05,Metals,Incident,The collaborator reports that he was working in the Ustulación and realized that the cyclone duct was obstructed and opened the door to try to unclog the same and the material detached and projected towards the employee causing small burn in the right heel.,No,Unmapped,Liquid Metal,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00014,2016-02-02,Real-Local_01,Mining,Incident,"In moments that the operator of the Jumbo 2, tried energize your equipment to proceed to the installation of 4 split set at intersection 544 of Nv 3300, remove the lock and opening the electric board of 440V and 400A, and when lifting the thermomagnetic key This makes phase to ground - phase contact with the panel shell - producing a flash which reaches the operator causing the injury described.",Yes,Energy Isolation,Electrical installation,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00015,2016-02-04,Real-Local_05,Metals,Incident,"Due to the accumulation of Waelz on the conveyor and trailer of the Filter 08FI0502, the employee performed the cleaning of the shutter using the air lance, when he was surprised by the fall of the product that was above the door, passing between the neck and the collar of the aramid jacket and causing burn in the neck and shoulder.",No,Confined Space,Confined space,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00016,2016-02-04,Real-Local_05,Metals,Incident,"The employee was working in the When a thermal shock caused a splash of zinc in his direction, the employee, despite using all the indicated PPE, was hit by small spatters that passed between the facila and the hood. small burn in the face region.",Yes,Unmapped,Liquid Metal,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00017,2016-02-06,Real-Local_04,Mining,Incident,"At Rp 050 of level 1620, in circumstances where the workers of the company were performing the task of diamond drilling, the assistants Jhonatan (injured) and Nilton were preparing to increase the HQ perforation pipe located on the scaffolding, Mr. Jhonatan lifts one end of the tube and supports it on the pulley of the equipment frame, the other end being on the working scaffolding, at the moment that Mr. Nilton lifts the end of the HQ pipe that is in the scaffolding to position in the frame, the upper part of the pipe comes out of the pulley falling and striking the right hand of the worker jhonatan against bolts that has the lateral part of the same frame causing the injury described.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00018,2016-02-07,Real-Local_06,Metals,Incident,"Due to the overheating of 2 bars in row 5 of cell 7 a spark is produced, which is projected and manages to reach the Chief of guard who was in the corridor, producing a first degree burn in the neck.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00019,2016-02-08,Real-Local_06,Metals,Incident,"An auxiliary wheel of the cathode crane G2133 was changed in area 75, when when a bearing was heated and hit with a hammer and chisel at one end of the bearing track, a detachment of a bearing piece occurred, impacting it in the thigh of the right leg producing a cut. The ambulance is called and you are transferred to the clinic.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00020,2016-02-21,Real-Local_06,Metals,Incident,"The worker Manuel was making the disconnection of the power cables of the gate that is at the intersection of Manco streets with Cajamarquilla in order to remove it. In circumstances that Mr. José worker of the company ITS, was removing the rope tied in the body of the gate, this yields and falls pulling the warning post which hits the helmet of Mr. who He was standing at his side.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00021,2016-02-25,Real-Local_06,Metals,Incident,"At 14:16, the operator Samuel was about to open the container for its subsequent loading with silver concentrate, and opened the first gate. Afterwards, he tries to open the second door and it is when product of the opening of the latter, the first one opens and impacts with the handle the safety lens and generates the injury in the left cheekbone of the face of the operator.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00022,2016-02-09,Real-Local_03,Mining,Incident,"In the Raise chamber, when the operator and assistant removed the drilling bar from the 71R drilling machine - weight approx. 500 Kg - holding it at the top with a 2 TM stroke and assisted with jibs to move horizontally, the operator's jib on the bottom slides by moving the top of the drill bar causing the assistant's bar to enforce his assistant's hand between the bar and the piston of the equipment.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00023,2016-02-10,Real-Local_03,Mining,Incident,"While aligning the right bracket of tower N ° 32, when releasing the tension applied by the tirford of 1.5 Tn, when pushing the lever towards the tension release point, it returns by mechanical effect overcoming the resistance of the lineman operator and reshaping the the hands of the assistant beating the assistant in the frontal region.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00024,2016-02-15,Real-Local_02,Mining,Incident,"By loosening the A30-29 truck's steering cylinder bolt using power cable and socket, with the force exerted in favor of the equipment, the bolt suddenly retired and the employee hit his hand against the structure of the equipment, causing injury.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00025,2016-02-14,Real-Local_06,Metals,Incident,"An operator of the G-2142 deslaminadora in section 75 was unlocking a sheet of zinc stuck so that it can enter the slide of the stacking table, for this requires the support of Mr. Mollares and this helps to hold the sheet to place it in the entry chute to the slide. At the moment of releasing the blade, it tilted and brushed Mr. Mollares's left leg. The collaborator went to the nearby eyewash for cleaning and immediately to the medical center.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00026,2016-02-15,Real-Local_06,Metals,Incident,"The operator was willing to manually displace the zinc sheet adhered to the aluminum cathode. At the moment when the blade was detached, the blade was released from the cathode, bending and grazing the collaborator's right hand, producing 2 small cuts at the knuckles of the fingers, the worker made use of his gloves. leather. The worker is transferred to the medical unit for first aid.",No,Unmapped,Manual Tools,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00027,2016-02-13,Real-Local_01,Mining,Incident,"At the end of lunch in an enabled place on the side of the winche control room. He gets up and after a short walk he slips and sits with the floor and making contact with the left knee and not taking importance in the rest of the guard, when the guard is finished, he goes to safety and communicates the fact, for which reason it is derived Natclar, for your attention.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00028,2016-02-15,Real-Local_03,Mining,Incident,"At the end of the rock break at the intersection of the ramp -1055 and the opening of the access to the ventilation chimney, the master loader identifies rocks on the mesh proceeding to unload them, at the end he decides to verify if there are still remains by positioning himself under the line of fire, at which time a fragment of rock falls - 5x4x3cm .; 180 gr - between the cocada mesh impacting between the lens and the helmet causing the injury.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00029,2016-02-16,Real-Local_01,Mining,Incident,"The worker carried out his work at level 2940, stop 896; and placed metal mesh on the basket (SOIL HALF) of the Scissor the mesh falls and hits the back of his right hand.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00030,2016-02-16,Real-Local_07,Mining,Incident,When using the griff wrench to unscrew the rod from the probe the key came to move by pressing the employee's finger against the probe.,No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00031,2016-02-17,Real-Local_03,Mining,Incident,"When the plant operator was semi-kneeling when lifting the lid or gate (15 kg) of the distributor box of the secondary mill No. 4 and No. 5, his right knee slips due to the presence of debris spilled on the platform or floor (Grating) - which gave him an extra effort in his left leg, generating a muscle contracture.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00032,2016-02-19,Real-Local_03,Mining,Incident,"At level -1095 - Access 6 A2 - at times when the engineer trainee planamieto entered to verify the amount of split set placed by the Scissor 184 in the support - holding his notebook and pen in his left hand - while inspecting the roof of the work, he lost the balance when stepping on a rock holding the right hand on a rock on the floor causing the injury. The worker at the time of the accident wore gloves but did not use them because it made it difficult to take notes.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00033,2016-02-21,Real-Local_01,Mining,Incident,"The worker Yaranga while working with barretilla in Stop 996, Level 3300. While unloading metal mesh, on the basket of an ampoloader with his operator Juan barretilla is embedded on safety boot, reacting immediately the worker removing the limb with force and managing to release the foot, but producing a wound on the right foot.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00034,2016-02-20,Real-Local_04,Mining,Incident,"Approximately 1:40 p.m. in circumstances that shotcrete was launched in the Nv. 1680 BP 255 of the OB2B, after finishing the launch of the first mixkret 113, the assistant of the alpha, Mr. Albertico asks the operator of the mixkret 113, Mr. Jhony to move the mixkret 116, so that access, finding in the cockpit of the mixkret the operator of the Launcher team, Mr. Danon asks him to come down. When the team started, he noticed that Mr. Danon (injured) was imprisoned between the team (height of the left rear rim) and the Hastial de la Labor.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00035,2016-02-15,Real-Local_05,Metals,Incident,The employee was clearing the pipe when he tapped his right thumb against the flange causing little trauma.,No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00036,2016-02-18,Real-Local_05,Metals,Incident,"When replacing the telescopic expansion joint of the HDPE pipe of the storm drainage pumping system, it reports that the piece involuntarily moved when it was positioned in the holder, pressing its finger against the holder, causing a wound 1 right chemo.",No,Unmapped,Pressed,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00037,2016-02-22,Real-Local_01,Mining,Incident,"During the withdrawal the Kelly bar (conductive bar of 45 Kg, 1.5 m of length and 10 cm of diameter) of the equipment of perforation on the part of two workers, one of them is positioned in the low part to tie the bar and the injured one is position in the upper part to hold the bar, when positioning the bar on the platform they lose control of the bar moving 5 cm with the 2nd finger of the right hand against the pulleys of the frame. At the time of the accident, the worker was wearing safety gloves and the drill rig was blocked.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00038,2016-02-24,Real-Local_07,Mining,Incident,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00039,2016-02-24,Real-Local_07,Mining,Incident,When starting the activity of removing a coil of electric cables in the warehouse with the help of forklift truck the operator did not notice that there was a beehive in it. Due to the movement of the coil the bees were excited. Realizing the fact the operator turned off the equipment and left the area. People passing by were stung.,Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00040,2016-02-24,Real-Local_01,Mining,Incident,"During the pre-use inspection of the Jumbo 15 (check list) equipment, the operator of the equipment finds behind the seat a plastic bottle filled with a liquid apparently mineral water, without any label or labeling. Take the bottle and take a small sip of the liquid, expelling it immediately when noticing that it was not water, immediately proceeds to wash with enough water and is transferred to the medical center for your attention. The liquid with which it had contact is an esengrasante product of equipment and machinery of low toxicity.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00041,2016-02-29,Real-Local_02,Mining,Incident,"During maintenance of the Flyght pump rotor, the oil pressure of the the lubrication chamber caused the chamber cover to be projected towards the employee's face, striking him superficially on the forehead, causing injury.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00042,2016-02-26,Real-Local_06,Metals,Incident,"Approx. at 11:22 am there is a leakage of sulfur dioxide (SO2) from section 20/30 due to water seal blowing due to overpressure of the acid plant, at that moment there were 13 collaborators of CORMEI companies, EISSA and COSAPI doing work near the impacted area; who were evacuated to the medical center for their care, then returned to their usual work.",Yes,Energy Isolation,Pressurized Systems / Chemical Substances,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00043,2016-02-27,Real-Local_01,Mining,Incident,"While performing the cutting of the meshes protruding in the gables of the work, the assistant loader is positioned at 1.40mt. on the floor using a portable ladder which was held at the base by the master loader, at which time the loader assistant loses balance and when falling is held by the mesh with the hand hanging at 0.80mt. of the floor causing the injury.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00044,2016-03-02,Real-Local_08,Metals,Incident,"The operator was in the center (Demag IV), performing maintenance. When transporting the hydraulic cylinder with the help of another operator the official was unbalanced coming the cylinder that carried to press his finger (Left thumb) against the pillar of support of the oven specified below (figure).",No,Unmapped,Pressed,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00045,2016-03-02,Real-Local_06,Metals,Incident,"During the start of the neutral leaching process, the employee Jhonatan proceeds to open the air valve of the tank Airlift a circumstance in which the process solution returns through the chimney, the solution coming into contact with the arm and right foot.",No,Energy Isolation,Blocking and isolation of energies,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00046,2016-03-03,Real-Local_03,Mining,Incident,"At a time when two assistants were carrying a bag of cement weighing 42.5 kg to the lamp of the loader - suspended about 10 cm from the floor, the left foot of one of the assistants slid and hit the edge of the baton.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00047,2016-03-04,Real-Local_06,Metals,Incident,"The operator cleaned with spatula spear through one of the windows of the boiler, at that time by force action hit the window frame, causing injury to the little finger of the left hand, the operator had all EPP for boiler cleaning.",No,Unmapped,Manual Tools,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00048,2016-03-05,Real-Local_03,Mining,Incident,"The locomotive No. 15 operated by MAPERU personnel, was directed with 10 wagons loaded with ore from the OP4 to the waste bin. Next to the waste bin, the patrol car (which goes on the back of the wagons) the moment it passed over a change of track, the left rear wheel of the patrol car leaves the rail advancing the locomotive leaving the patrol car tilted more ahead. The assistant motorist who traveled alone in the patrol car remained inside the structure and suffered minor bruises.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00049,2016-03-06,Real-Local_04,Mining,Incident,"On pit 831 of level 1910 when radial drilling was performed of negative holes with the simba M4C ITH No. 5 equipment, when the assistant of the equipment operator made the change of the drill bit, the metal bar (hammer) is released from the coupling of the rotation unit and when abruptly withdrawing his hands hit the back of his right hand against the team's structure. At the time of the accident the team was Paid.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00050,2016-03-06,Real-Local_03,Mining,Incident,"At a time when a worker and another partner were preparing to move an oil cylinder (55 gallons) on a mobile platform mounted on rails (platform weighing approximately 200 kg) it is derailed (leaves the rail). In order to place the platform on the rail, both workers lift the platform and in those instants the right hand of one of them is trapped between the rail and the platform structure where it was held (metallic tube protruding from the platform). This accident caused a bruised wound on the index finger of the right hand, there was no fracture. At the time of the accident they both wore leather-type safety gloves.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00051,2016-03-09,Real-Local_06,Metals,Incident,"The operator was feeding a bag of big bag containing scraps of Zn sheets. During lifting, this loaded bag is released from the hook of the hoist, making abrupt contact with the liquid zinc of the furnace, generating an explosion and causing the operator to be hit with liquid zinc.",Yes,Line of Fire,Suspended Loads,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00052,2016-03-11,Real-Local_03,Mining,Incident,"In circumstances that two workers of the company INCIMMET made the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00053,2016-03-11,Real-Local_03,Mining,Incident,"In circumstances that two workers of the company INCIMMET fectuaban the loading of explosives using an equipment anfoloader, in a front of the work - sustained with shotcreterepentinamente of the right superior part of the crown, a piece of rock of approx. 9. kg, (0.2mx0.15mx0.10m), impacting on the basket and on the back of the helper who was in the basket suspended at 2.2 m height, moments later a block of rock is detached from the wall of the gable approx. 1,500 kg. (1.20mx1.10mx0.40m), which impacts the ampoloader team and part of this block injures the operator of the ampoloader team who was standing on the ground. The equipment anfoloader has a cabin with protection ROPs and FOPs, at the time of the accident both workers used helmets and safety boots. Both suffered polyontusions and minor scoria injuries.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00054,2016-03-13,Real-Local_03,Mining,Incident,"The mechanic assistant after throwing the wooden blocks of support of the stabilizer of the Hiab crane truck to the ground, when descending from the truck by the access ladder when arriving at the last step jumps towards the ground - height of 69cm - treading the edge of one of The wooden blocks cause an injury to the left ankle.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00055,2016-03-12,Real-Local_07,Mining,Incident,"By manually moving a steel cabinet for disposal with the help of another employee, the operator had his finger pressed down between the wall and the cabinet causing injury.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00056,2016-03-14,Real-Local_06,Metals,Incident,"During the discharge of waste, the operator proceeds to remove a bag that was under the hose rolled, in this circumstance one of the ends of the hose moves in the direction of the face of the driver, projecting the liquid contained in it and impacting it on the ear and part of the face.",No,Unmapped,Chemical substances,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00057,2016-03-13,Real-Local_03,Mining,Incident,"In circumstances that the Operator 176 was going from level 620 to level 640, he noticed that the hydraulic pump's inspection cover (18 ""x32"" x3 / 8 "", 15 Kg approx.) Was about to fall, so he stopped the equipment, activates the cats and climbs up the upper part of the equipment and in moments that accommodated the cover it slides on its middle finger causing the injury.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00058,2016-03-16,Real-Local_04,Mining,Incident,"When installing the ripper pin of the tractor D6T-N1, the ripper support arm slides by pressing the second and third fingers of the right hand against the base of the ripper causing the injury described.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00059,2016-03-10,Real-Local_05,Metals,Incident,"The employee reports that when he lowered the cloths in the purification, he arranged the cart so that it would not grab the pipe, pressing his left hand between the cloths and the cart.",No,Unmapped,Pressed,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00060,2016-03-17,Real-Local_01,Mining,Incident,"At the end of the loading of explosives on the work front, the master loader enters to verify the mooring of the blasting accessories, when retiring from the top (1.5 m), he hears the sound of fragments of rock rolling through the support mesh, directs its gaze towards the crown in a vertical form, at which point a small fragment of rock (2x3x2cm; 36gr) passes through the openings of the mesh. sustaining impact on the forehead. At the time of the event the collaborator used his helmet and safety lens and the front was with support to the top and sacrifice mesh. The opening of the support mesh is 3 ""x 3"".",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00061,2016-03-16,Real-Local_08,Metals,Incident,"The employee, when performing the adjustment / tightening operation of the cutter blade with which he worked, was neglected, the key to slip, causing the blade of the equipment to hit him, causing a blunt cut on his right forearm.",No,Unmapped,Manual Tools,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00062,2016-03-18,Real-Local_04,Mining,Incident,"Approximately at 11:50 a.m. in circumstances that the Messrs. of the truck crane) and William de la Cruz culminated the shipment of 03 blocks of metal plates with an approximate weight of 1800 Kg. Mr. William de the Cross (rigger) climbs onto the truck to remove the sling, places both feet under the stretcher that supported the metal plates. At that moment the central part of the stretcher is broken, as a result of which the two feet are imprisoned producing the injury.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00063,2016-03-19,Real-Local_01,Mining,Incident,"During the placement of the last support mesh cloth of the work, in moments that from the ground the injured collaborator reached the electrowelded mesh to the operator of the scissor bolter positioned in the basket, when pressing on the mesh, one of the protruding ends of the mesh, crosses the leather glove causing an injury in his right hand.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,MEDIUM,real_ihm_stefanini
OIL-00064,2016-03-14,Real-Local_05,Metals,Incident,The employee checked for acid leakage in the shipping area when he was hit by splashes of solution in his right hemiface.,Yes,Unmapped,Chemical substances,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00065,2016-03-18,Real-Local_05,Metals,Incident,"The employee was clearing the liquid zinc pump from oven 04, when he stepped on the platform and became unbalanced with a twist in his left foot.",Yes,Unmapped,Fall prevention (same level),Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00066,2016-03-18,Real-Local_05,Metals,Incident,"The employee was transiting toward the cadmium factory, near tank 1440 on copper sulphate, when acid solution spilled in his direction, reaching his legs causing minor burns.",Yes,Unmapped,Chemical substances,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00067,2016-03-22,Real-Local_03,Mining,Incident,"When carrying out the activity of cutting electrowelded mesh on the work front, the assistant positions his feet on one end of the mesh leaving the other end free, at the moment that the assistant bends down to make the cut with the shear, the end free of the mesh returns by inertia hitting the partner above his safety lens.",No,Unmapped,Others,Unknown (not recorded in source),Unknown,LOW,real_ihm_stefanini
OIL-00068,2016-03-22,Real-Local_01,Mining,Incident,"During the refurbishment work of the HDPE pipes (4 ""of diameter) with two workers, when the worker who secured the pipe with a chain, standing on the basket of the ampoloader - raised to a height of 3.0 m from the ground -, the pipe slipped and impacted his arm right, causing an injury to the radius of the right arm.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00069,2016-03-25,Real-Local_01,Mining,Incident,"In circumstances that a dump truck laden with ore entered to unload backwards in a curve in the upper part of via La Laquia, the operator did not notice the unevenness in the road (approximately one meter) approaching the edge and overturning the truck on its right side. The operator traveled alone in the truck and made use of the safety belt, helmet and glasses at the time of the accident. During the unloading process, there were two squares that were 25 m from the accident site. The test of alcohotest to the operator was negative.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
OIL-00070,2016-03-30,Real-Local_04,Mining,Incident,"Being approximately 5:45 pm. On the level. 1710 Cx 018 BP 745, in circumstances that the workers of the company Rock performed the anchorage of the central pin for the anchoring of the drilling machine Diamantina XRD -30 (bob Cat) the assistant Cristian (injured) made the adjustment of the nut of the central bolt with the stilson key No. 18 Simultaneously Jose from the control panel made the movement of the rotation unit for the positioning of the clamp pin, at that moment the frame is slid by pressing the thumb of the assistant's left hand against the stilson key, causing the described injury, due to the lack of securing the frame fixing bolts.",Yes,Unmapped,Others,Unknown (not recorded in source),Unknown,HIGH,real_ihm_stefanini
